金额,支付途径,支付日期,标签,详情
-20.0,花呗,2021/09/01,话费,手机充值
0.8,花呗,2021/09/01,薅羊毛,支付宝手机充值优惠
-7.17,花呗,2021/09/01,吃饭,嗨饭火锅杯（海事直送店）
0.17,支付宝,2021/09/01,理财,余额宝收益发放
-10.0,花呗,2021/09/01,吃饭,二嫂水饺（第4档口双福美食城）
-17.73,花呗,2021/09/01,吃饭,美味粥铺（海事校内店）
0.17,支付宝,2021/09/02,理财,余额宝收益发放
-16.64,花呗,2021/09/02,吃饭,魔方汉堡（海事校内店铺）
-13.44,花呗,2021/09/02,吃饭,毛毛匠串炒饭（理工店）
-3.0,花呗,2021/09/02,饮料,怡宝
-9.05,花呗,2021/09/03,吃饭,安徽板面（海事校内店）
0.17,支付宝,2021/09/03,理财,余额宝收益发放
-8.86,花呗,2021/09/03,吃饭,美味粥铺（海事校内店）
-4.0,微信,2021/09/03,洗衣,洗衣
-15.04,花呗,2021/09/04,吃饭,柳香黄焖鸡米饭（方舟店）
0.17,支付宝,2021/09/04,理财,余额宝收益发放
-13.76,花呗,2021/09/04,吃饭,一品潼关肉夹馍&凉皮（校内直送）
-3.0,花呗,2021/09/04,饮料,青梅绿茶
0.17,支付宝,2021/09/05,理财,余额宝收益发放
-6.22,花呗,2021/09/05,吃饭,美味粥铺（海事校内店）
-9.0,花呗,2021/09/05,吃饭,安徽板面（海事校内店）
0.17,支付宝,2021/09/06,理财,余额宝收益发放
-12.49,花呗,2021/09/06,吃饭,御香园麻辣烫，苕粉（方舟美食城店）
-11.3,花呗,2021/09/06,吃饭,潮范儿石锅拌饭（海事校内店）
0.21,支付宝,2021/09/07,理财,余额宝收益发放
-11.55,花呗,2021/09/07,吃饭,0090炸鸡汉堡（方舟美食城店）
-16.95,花呗,2021/09/07,吃饭,毛毛匠串炒饭（理工店）
0.2,支付宝,2021/09/08,理财,余额宝收益发放
-15.26,花呗,2021/09/08,吃饭,真心便当（软件园店）
-10.29,花呗,2021/09/08,吃饭,美味粥铺（海事校内店）
0.29,支付宝,2021/09/08,理财,稳健理财
0.18,支付宝,2021/09/09,理财,余额宝收益发放
-10.52,花呗,2021/09/09,吃饭,徐记叉烧饭（方舟美食城店）
-13.54,花呗,2021/09/09,吃饭,好粥道炒河粉拌鸡架（方舟店）
-3.0,花呗,2021/09/09,饮料,怡宝
0.18,支付宝,2021/09/10,理财,余额宝收益发放
-10.54,花呗,2021/09/10,吃饭,徐记叉烧饭（方舟美食城店）
-5.78,花呗,2021/09/10,吃饭,格格米线（校内专送店）
-8.44,花呗,2021/09/11,吃饭,丝味鸭血粉丝（方舟美食城店）
0.14,支付宝,2021/09/11,理财,余额宝收益发放
-16.53,花呗,2021/09/11,吃饭,魔方汉堡（海事校内店铺）
-1.35,微信,2021/09/12,其他,教师节礼物对钱
0.13,支付宝,2021/09/12,理财,余额宝收益发放
-9.04,花呗,2021/09/12,吃饭,小猪笨笨（方舟美食城店）
-8.68,花呗,2021/09/12,吃饭,丝味鸭血粉丝（方舟美食城店）
-3.0,花呗,2021/09/12,饮料,怡宝
0.13,支付宝,2021/09/13,理财,余额宝收益发放
-10.3,花呗,2021/09/13,吃饭,美团会员红包5*6张
-21.0,花呗,2021/09/13,吃饭,无限创作鸡肉饭（高新万达店）
-7.79,花呗,2021/09/13,吃饭,老妈烫饭铁板炒饭炒饼（方舟美食城店）
-0.88,微信,2021/09/13,娱乐,QQ音乐会员充值（为3103216493购买）
0.13,支付宝,2021/09/14,理财,余额宝收益发放
-6.9,花呗,2021/09/14,生活,卫生纸（16卷无芯卷纸卫生纸家用实惠装厕所厕纸手纸整箱批发卷筒纸巾擦手）
6.0,花呗,2021/09/14,薅羊毛,淘宝专享频道红包
-4.7,花呗,2021/09/14,吃饭,美团会员红包5*6张（补充）
4.7,花呗,2021/09/14,薅羊毛,美团会员红包5*6张(减免)
-14.0,花呗,2021/09/14,吃饭,二嫂水饺（海事理工店）
-10.51,花呗,2021/09/14,吃饭,美味粥铺（海事校内店）
-3.9,花呗,2021/09/15,电子,原装正品适用vivo入耳式x20x21x23x27耳塞通用手机有线控耳机原配
3.0,花呗,2021/09/15,薅羊毛,淘宝特价版红包
-4.5,花呗,2021/09/15,生活,成人软毛螺旋丝牙刷
3.5,花呗,2021/09/15,薅羊毛,成人软毛螺旋丝牙刷淘宝减免3元3件大放送
-4.65,花呗,2021/09/15,生活,平口斜口指甲刀2只装
3.65,花呗,2021/09/15,薅羊毛,平口斜口指甲刀2只装 淘宝减免3元3件大放送
-4.5,花呗,2021/09/15,电子,1米 安卓数据线
3.5,花呗,2021/09/15,薅羊毛,1米 安卓数据线 淘宝减免3元3件大放送
0.14,支付宝,2021/09/15,理财,余额宝收益发放
-9.28,花呗,2021/09/15,吃饭,小猪笨笨（方舟美食城店）
-3.0,花呗,2021/09/15,饮料,怡宝
-15.0,花呗,2021/09/15,吃饭,成都味道
-7.0,微信,2021/09/15,学习,校务行成绩单与成绩排名
0.13,支付宝,2021/09/16,理财,余额宝收益发放
-11.0,花呗,2021/09/16,交通,去大医二院体检路费
2.0,花呗,2021/09/16,朋友,没带校园卡，使用刘彤的来回公交车路费
-1.0,花呗,2021/09/16,医疗,华科体检挂号费
-113.9,花呗,2021/09/16,医疗,华科体检费
-12.28,花呗,2021/09/16,吃饭,烤鱼饭（方舟美食城店）
-11.98,花呗,2021/09/16,吃饭,御香园麻辣烫，苕粉（方舟美食城店）
0.13,支付宝,2021/09/17,理财,余额宝收益发放
-16.63,花呗,2021/09/17,吃饭,烤鱼饭（方舟美食城店）
-12.64,花呗,2021/09/17,吃饭,御香园麻辣烫，苕粉（方舟美食城店）
-3.0,花呗,2021/09/17,饮料,怡宝
-0.6,微信,2021/09/17,朋友,刘彤申请华科直博，打印导师推荐信
0.13,支付宝,2021/09/18,理财,余额宝收益发放
-10.37,花呗,2021/09/18,吃饭,美味粥铺（海事校内店）
-10.0,花呗,2021/09/18,交通,去大医二院拿体检报告路费
2.0,花呗,2021/09/18,朋友,去大医二院拿体检报告，没带校园卡，使用刘彤的来回公交车路费
-4.0,微信,2021/09/18,学习,校务行成绩单
0.13,支付宝,2021/09/19,理财,余额宝收益发放
-13.98,花呗,2021/09/19,吃饭,潮范儿石锅拌饭（海事校内店）
-7.65,花呗,2021/09/19,吃饭,老妈烫饭铁板炒饭炒饼（方舟美食城店）
0.13,支付宝,2021/09/20,理财,余额宝收益发放
-10.14,花呗,2021/09/20,吃饭,小猪笨笨（方舟美食城店）
-8.64,花呗,2021/09/20,吃饭,木槿屋风味干锅居（方舟美食城店）
8.64,花呗,2021/09/20,薅羊毛,木槿屋风味干锅居（方舟美食城店）退款（当时送晚了，所以退款了，但还是送到了，所以晚上吃的）（当天下雨🌧）
-5.2,花呗,2021/09/20,吃亏,无名缘米粉·凉皮（方舟美食城店）外卖没送到，反而说送到了
0.81,中国银行,2021/09/20,理财,中国银行利息
0.03,邮政储蓄,2021/09/21,理财,邮政储蓄银行利息
0.13,支付宝,2021/09/21,理财,余额宝收益发放
-16.63,花呗,2021/09/21,吃饭,0090炸鸡汉堡（方舟美食城店）香辣鸡腿堡+台湾大鸡排+可乐
-5.2,花呗,2021/09/21,吃饭,海大将军锅盔（海事校内店）
-6.1,花呗,2021/09/21,吃饭,汤姆手工虾滑•拌面(方舟店）凉皮＋黄瓜＋花生米（小份）
-3.0,花呗,2021/09/21,饮料,怡宝
-2.0,花呗,2021/09/21,学习,胶带（2卷）
-25.0,花呗,2021/09/21,理发,理发💇（不老美店）
-0.6,微信,2021/09/21,学习,打印英语自我介绍
0.13,支付宝,2021/09/22,理财,余额宝收益发放
-7.65,花呗,2021/09/22,吃饭,铁板烧肉饭（方舟美食城店）
-10.47,花呗,2021/09/22,吃饭,美味粥铺（海事校内店）
0.13,支付宝,2021/09/23,理财,余额宝收益发放
-11.0,花呗,2021/09/23,吃饭,方舟盒饭
-10.64,花呗,2021/09/23,吃饭,徐记叉烧饭
0.01,微信,2021/09/23,理财,微信零钱通收益发放
0.13,支付宝,2021/09/24,理财,余额宝收益发放
-11.0,花呗,2021/09/24,吃饭,方舟盒饭
