金额,支付途径,支付日期,标签,详情
-3896.75,支付宝,1999/11/16,临时,临时
-154.3,花呗,1999/11/16,临时,临时
-1878.0,微信,1999/11/16,临时,临时
0.24,QQ,1999/11/16,临时,临时
0.0,邮政储蓄,1999/11/16,临时,临时
0.01,农业银行,1999/11/16,临时,临时
-0.16,中国银行,1999/11/16,临时,临时
554.07,建设银行,1999/11/16,临时,临时
47.64,校园卡,1999/11/16,临时,临时
5797.65,中国银行,2021/11/29,贷款,贷款扣除学费后反回
-300.0,支付宝,2021/12/01,理财投资,投资
1200.0,中国银行,2021/12/03,报销,智能车报销
-500.0,微信,2021/12/03,中转,转账给黄春娇
-100.0,支付宝,2021/12/04,理财投资,投资
2000.0,中国银行,2021/12/08,报销,智能车报销
1000.0,中国银行,2021/12/10,奖助学金,情商奖学金
2.73,支付宝,2021/12/13,理财投资,蚂蚁财富-天弘永利债券C-现金分红至余额宝
1000.0,中国银行,2021/12/16,奖助学金,2021.9-2022.1国家助学金
500.0,微信,2021/12/31,奖助学金,学霸寝室
2000.0,中国银行,2022/01/14,奖助学金,中远海运科技创新个人
7000.0,中国银行,2022/01/14,奖助学金,中远海运奖学金二等
-5000.0,中国银行,2022/01/18,借还,刘彤借钱
-100.0,微信,2022/01/24,中转,转账给黄春娇
-1000.0,支付宝,2022/01/28,理财投资,投资
100.83,支付宝,2022/03/01,理财投资,蚂蚁财富-富国安泰90天滚动持有短债债券C-卖出至余额宝
1.06,支付宝,2022/03/15,理财投资,蚂蚁财富-天弘永利债券C-现金分红至余额宝 2022-03-15 11:05:27
200.0,中国银行,2022/03/24,奖助学金,2022.3国家助学金
200.0,中国银行,2022/04/13,奖助学金,2022.4国家助学金
-2130.1,微信,2022/05/20,学费,2022届本科生结算学费
200.0,中国银行,2022/05/23,奖助学金,2022.5国家助学金
400.0,中国银行,2022/06/16,奖助学金,2022.6-7国家助学金
9.0,微信,2022/07/01,中转,5月23日和6月26日与妈测试转账功能
